reference_name,target_name,reference_network,induced_network,name_dct,num_assignment_pair,is_truncated,probability_of_occurrence_strong,truncated_strong,probability_of_occurrence_weak,truncated_weak,estimated_poc_strong,estimated_poc_weak
BIOMD0000000047,BIOMD0000000033,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","6095081: 2 species, 3 reactions
  SosActivationByEGFReaction: SosInactive -> SosActive
  SosActivationByNGFReaction: SosInactive -> SosActive
  SosDeactivationReaction: SosActive -> SosInactive","{""species_names"": {""CaER"": ""SosInactive"", ""Ca_Cyt"": ""SosActive""}, ""reaction_names"": {""Jch"": ""SosActivationByEGFReaction"", ""Jleak"": ""SosActivationByNGFReaction"", ""Jpump"": ""SosDeactivationReaction""}}",6,False,,,,,0.1097168551338139,0.11206010736993821
BIOMD0000000047,BIOMD0000000404,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","2929827: 2 species, 3 reactions
  phosphorylation_r4: Yp -> Y
  phosphorylation_r7: Yp -> Y
  phosphorylation_r6: Y -> Yp","{""species_names"": {""CaER"": ""Yp"", ""Ca_Cyt"": ""Y""}, ""reaction_names"": {""Jch"": ""phosphorylation_r4"", ""Jleak"": ""phosphorylation_r7"", ""Jpump"": ""phosphorylation_r6""}}",6,False,,,,,0.1448208050621559,0.14784942455397776
BIOMD0000000047,BIOMD0000000612,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","6136519: 2 species, 3 reactions
  Wnt_activation: Wnt_I -> Wnt_A
  Wnt_activation_by_PTH: Wnt_I -> Wnt_A
  Inactivation_of_Wnt_by_Sost: Wnt_A -> Wnt_I","{""species_names"": {""CaER"": ""Wnt_I"", ""Ca_Cyt"": ""Wnt_A""}, ""reaction_names"": {""Jch"": ""Wnt_activation"", ""Jleak"": ""Wnt_activation_by_PTH"", ""Jpump"": ""Inactivation_of_Wnt_by_Sost""}}",2,False,,,,,0.28802145993674744,0.2934853056120733
BIOMD0000000047,BIOMD0000000182,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","5047559: 2 species, 3 reactions
  PTP_PKA: MAPK_active_cyto -> MAPK_cyto
  PTP: MAPK_active_cyto -> MAPK_cyto
  MEK_activates_MAPK: MAPK_cyto -> MAPK_active_cyto","{""species_names"": {""CaER"": ""MAPK_active_cyto"", ""Ca_Cyt"": ""MAPK_cyto""}, ""reaction_names"": {""Jch"": ""PTP_PKA"", ""Jleak"": ""PTP"", ""Jpump"": ""MEK_activates_MAPK""}}",6,False,,,,,0.13327604194080744,0.1360828732881626
BIOMD0000000047,BIOMD0000000723,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","9493748: 2 species, 3 reactions
  reaction_23: TriD -> actCycD
  reaction_24: TriD -> actCycD
  reaction_25: actCycD -> TriD","{""species_names"": {""CaER"": ""TriD"", ""Ca_Cyt"": ""actCycD""}, ""reaction_names"": {""Jch"": ""reaction_23"", ""Jleak"": ""reaction_24"", ""Jpump"": ""reaction_25""}}",2,False,,,,,0.27840987953211527,0.28372970418304644
BIOMD0000000047,BIOMD0000000149,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","3219289: 2 species, 3 reactions
  R20: X18 -> X19
  R31: X18 -> X19
  R21: X19 -> X18","{""species_names"": {""CaER"": ""X18"", ""Ca_Cyt"": ""X19""}, ""reaction_names"": {""Jch"": ""R20"", ""Jleak"": ""R31"", ""Jpump"": ""R21""}}",2,False,,,,,0.1371415101361092,0.14002299973092103
BIOMD0000000047,BIOMD0000000200,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","3576321: 2 species, 3 reactions
  phosphorylation_r8: Yp -> Y
  phosphorylation_r9: Yp -> Y
  phosphorylation_r7: Y -> Yp","{""species_names"": {""CaER"": ""Yp"", ""Ca_Cyt"": ""Y""}, ""reaction_names"": {""Jch"": ""phosphorylation_r8"", ""Jleak"": ""phosphorylation_r9"", ""Jpump"": ""phosphorylation_r7""}}",2,False,,,,,0.14098973888137634,0.14394515616717662
BIOMD0000000047,BIOMD0000000407,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","3311720: 2 species, 3 reactions
  J34: IKK -> IKKa
  J51: IKK -> IKKa
  J52: IKKa -> IKK","{""species_names"": {""CaER"": ""IKK"", ""Ca_Cyt"": ""IKKa""}, ""reaction_names"": {""Jch"": ""J34"", ""Jleak"": ""J51"", ""Jpump"": ""J52""}}",2,False,,,,,0.32520445887094773,0.3311969725781073
BIOMD0000000047,BIOMD0000000313,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","4418805: 2 species, 3 reactions
  reaction_5: JAK2 -> pJAK2
  reaction_6: JAK2 -> pJAK2
  reaction_9: pJAK2 -> JAK2","{""species_names"": {""CaER"": ""JAK2"", ""Ca_Cyt"": ""pJAK2""}, ""reaction_names"": {""Jch"": ""reaction_5"", ""Jleak"": ""reaction_6"", ""Jpump"": ""reaction_9""}}",2,False,,,,,0.06901989384348683,0.07052857671048463
BIOMD0000000047,BIOMD0000000840,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","8903068: 2 species, 3 reactions
  Vicodin_Use_Transition_Abuse_Relapse_Linear: T -> A
  Vicodin_Use_Transition_Abuse_Relapse_Nonlinear: T -> A
  Vicodin_Use_Transition_Abuse_Treatment_Exit: A -> T","{""species_names"": {""CaER"": ""T"", ""Ca_Cyt"": ""A""}, ""reaction_names"": {""Jch"": ""Vicodin_Use_Transition_Abuse_Relapse_Linear"", ""Jleak"": ""Vicodin_Use_Transition_Abuse_Relapse_Nonlinear"", ""Jpump"": ""Vicodin_Use_Transition_Abuse_Treatment_Exit""}}",2,False,,,,,0.04797900608584782,0.049039936297110565
BIOMD0000000047,BIOMD0000000720,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","8654950: 2 species, 3 reactions
  reaction_21: RB -> PRB
  reaction_22: RB -> PRB
  reaction_19: PRB -> RB","{""species_names"": {""CaER"": ""RB"", ""Ca_Cyt"": ""PRB""}, ""reaction_names"": {""Jch"": ""reaction_21"", ""Jleak"": ""reaction_22"", ""Jpump"": ""reaction_19""}}",2,False,,,,,0.10572852886511563,0.10799186432455776
BIOMD0000000047,BIOMD0000000314,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","9464461: 2 species, 3 reactions
  reaction_5: JAK2 -> pJAK2
  reaction_6: JAK2 -> pJAK2
  reaction_9: pJAK2 -> JAK2","{""species_names"": {""CaER"": ""JAK2"", ""Ca_Cyt"": ""pJAK2""}, ""reaction_names"": {""Jch"": ""reaction_5"", ""Jleak"": ""reaction_6"", ""Jpump"": ""reaction_9""}}",2,False,,,,,0.05222488718676399,0.0533770454678294
BIOMD0000000047,BIOMD0000000608,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","5062183: 2 species, 3 reactions
  R_131: x_1 -> x_2
  R_132: x_1 -> x_2
  R_134: x_2 -> x_1","{""species_names"": {""CaER"": ""x_1"", ""Ca_Cyt"": ""x_2""}, ""reaction_names"": {""Jch"": ""R_131"", ""Jleak"": ""R_132"", ""Jpump"": ""R_134""}}",2,False,,,,,0.46515430226274534,0.47269077831230477
BIOMD0000000047,BIOMD0000000087,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","1999936: 2 species, 3 reactions
  ExoXinhibition: ExoXA -> ExoXI
  ExoXinhibition2: ExoXA -> ExoXI
  ExoXactivation: ExoXI -> ExoXA","{""species_names"": {""CaER"": ""ExoXA"", ""Ca_Cyt"": ""ExoXI""}, ""reaction_names"": {""Jch"": ""ExoXinhibition"", ""Jleak"": ""ExoXinhibition2"", ""Jpump"": ""ExoXactivation""}}",6,False,,,,,0.1748605959992795,0.17844931414809395
BIOMD0000000047,BIOMD0000000489,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","4409692: 2 species, 3 reactions
  reaction_4: species_14 -> species_15
  reaction_14: species_14 -> species_15
  reaction_5: species_15 -> species_14","{""species_names"": {""CaER"": ""species_14"", ""Ca_Cyt"": ""species_15""}, ""reaction_names"": {""Jch"": ""reaction_4"", ""Jleak"": ""reaction_14"", ""Jpump"": ""reaction_5""}}",2,False,,,,,0.23181163006948724,0.23639211471675137
BIOMD0000000047,BIOMD0000000842,"BIOMD0000000047: 2 species, 3 reactions
  Jch: CaER -> Ca_Cyt
  Jleak: CaER -> Ca_Cyt
  Jpump: Ca_Cyt -> CaER","6461226: 2 species, 3 reactions
  R_1: G -> G_a
  R_2: G -> G_a
  R_7: G_a -> G","{""species_names"": {""CaER"": ""G"", ""Ca_Cyt"": ""G_a""}, ""reaction_names"": {""Jch"": ""R_1"", ""Jleak"": ""R_2"", ""Jpump"": ""R_7""}}",8,False,,,,,0.1097168551338139,0.11206010736993821
BIOMD0000000060,BIOMD0000000964,"BIOMD0000000060: 4 species, 3 reactions
  Closed_state_1: Po1 -> Pc1
  Open_state_2: Po1 -> Po2
  Closed_State_2: Po1 -> Pc2","8646802: 4 species, 3 reactions
  Exposed_to_Susceptible: Exposed -> Susceptible
  Symptomatic_infection_from_Exposed: Exposed -> Infected_Symptomatic
  Asymptomatic_infection_from_Exposed: Exposed -> Infected_Asymptomatic","{""species_names"": {""Pc1"": ""Susceptible"", ""Po2"": ""Infected_Symptomatic"", ""Po1"": ""Exposed"", ""Pc2"": ""Infected_Asymptomatic""}, ""reaction_names"": {""Closed_state_1"": ""Exposed_to_Susceptible"", ""Open_state_2"": ""Symptomatic_infection_from_Exposed"", ""Closed_State_2"": ""Asymptomatic_infection_from_Exposed""}}",6,False,,,,,"model_name
BIOMD0000000060    0.004147
BIOMD0000000060    0.004147
BIOMD0000000060    0.004147
dtype: float64","model_name
BIOMD0000000060    0.004472
BIOMD0000000060    0.004472
BIOMD0000000060    0.004472
dtype: float64"
BIOMD0000000060,BIOMD0000000389,"BIOMD0000000060: 4 species, 3 reactions
  Closed_state_1: Po1 -> Pc1
  Open_state_2: Po1 -> Po2
  Closed_State_2: Po1 -> Pc2","2452676: 4 species, 3 reactions
  Diffu: Suc -> SucV
  Transl: Suc -> E
  Respi: Suc -> Resp","{""species_names"": {""Pc1"": ""SucV"", ""Po2"": ""E"", ""Po1"": ""Suc"", ""Pc2"": ""Resp""}, ""reaction_names"": {""Closed_state_1"": ""Diffu"", ""Open_state_2"": ""Transl"", ""Closed_State_2"": ""Respi""}}",6,False,,,,,"model_name
BIOMD0000000060    0.005328
BIOMD0000000060    0.005328
BIOMD0000000060    0.005328
dtype: float64","model_name
BIOMD0000000060    0.005746
BIOMD0000000060    0.005746
BIOMD0000000060    0.005746
dtype: float64"
BIOMD0000000072,BIOMD0000000498,"BIOMD0000000072: 7 species, 7 reactions
  reaction_0: L + R -> RL
  reaction_1:  -> R
  reaction_2: R -> 
  reaction_3: Gbg + Gd -> G
  reaction_4: G -> Gbg + Ga
  reaction_5: RL -> 
  reaction_6: Ga -> Gd","2308832: 7 species, 7 reactions
  reaction_31: species_9 + species_8 -> species_17
  reaction_13:  -> species_8
  reaction_12: species_8 -> 
  reaction_45: species_25 + species_2 -> species_24
  reaction_47: species_24 -> species_25 + species_26
  reaction_5: species_17 -> 
  reaction_48: species_26 -> species_2","{""species_names"": {""L"": ""species_9"", ""R"": ""species_8"", ""G"": ""species_24"", ""Gbg"": ""species_25"", ""Gd"": ""species_2"", ""Ga"": ""species_26"", ""RL"": ""species_17""}, ""reaction_names"": {""reaction_0"": ""reaction_31"", ""reaction_1"": ""reaction_13"", ""reaction_2"": ""reaction_12"", ""reaction_3"": ""reaction_45"", ""reaction_4"": ""reaction_47"", ""reaction_5"": ""reaction_5"", ""reaction_6"": ""reaction_48""}}",2,False,,,,,0.0,0.0
BIOMD0000000076,BIOMD0000000064,"BIOMD0000000076: 3 species, 2 reactions
  Gpd_p: DHAP -> G3P
  Gpp_p: G3P -> Gly","8919167: 3 species, 2 reactions
  vPGM: P3G -> P2G
  vENO: P2G -> PEP","{""species_names"": {""G3P"": ""P2G"", ""Gly"": ""PEP"", ""DHAP"": ""P3G""}, ""reaction_names"": {""Gpd_p"": ""vPGM"", ""Gpp_p"": ""vENO""}}",1,False,,,,,0.3934045093345312,0.40085551008665876
BIOMD0000000076,BIOMD0000000071,"BIOMD0000000076: 3 species, 2 reactions
  Gpd_p: DHAP -> G3P
  Gpp_p: G3P -> Gly","1807041: 3 species, 2 reactions
  vGPO: Gly3P -> DHAP
  vTPI: DHAP -> GAP","{""species_names"": {""G3P"": ""DHAP"", ""Gly"": ""GAP"", ""DHAP"": ""Gly3P""}, ""reaction_names"": {""Gpd_p"": ""vGPO"", ""Gpp_p"": ""vTPI""}}",1,False,,,,,0.33746154997607547,0.34417086763340154
BIOMD0000000076,BIOMD0000000315,"BIOMD0000000076: 3 species, 2 reactions
  Gpd_p: DHAP -> G3P
  Gpp_p: G3P -> Gly","2854175: 3 species, 2 reactions
  pol_aa: alpha_T1 -> alpha_alpha_T1
  nick_aa: alpha_alpha_T1 -> alpha_T1_alpha","{""species_names"": {""G3P"": ""alpha_alpha_T1"", ""Gly"": ""alpha_T1_alpha"", ""DHAP"": ""alpha_T1""}, ""reaction_names"": {""Gpd_p"": ""pol_aa"", ""Gpp_p"": ""nick_aa""}}",3,False,,,,,0.5479434030807355,0.5567305640882303
BIOMD0000000076,BIOMD0000000557,"BIOMD0000000076: 3 species, 2 reactions
  Gpd_p: DHAP -> G3P
  Gpp_p: G3P -> Gly","9139924: 3 species, 2 reactions
  reaction_2: ERK_ppMEKc -> pERKc
  reaction_3: pERKc -> pERK_ppMEKc","{""species_names"": {""G3P"": ""pERKc"", ""Gly"": ""pERK_ppMEKc"", ""DHAP"": ""ERK_ppMEKc""}, ""reaction_names"": {""Gpd_p"": ""reaction_2"", ""Gpp_p"": ""reaction_3""}}",5,False,,,,,0.47634410800908267,0.48465308764529125
BIOMD0000000076,BIOMD0000000794,"BIOMD0000000076: 3 species, 2 reactions
  Gpd_p: DHAP -> G3P
  Gpp_p: G3P -> Gly","1473672: 3 species, 2 reactions
  IKKn_activation: IKK_neutral -> IKK_active
  IKKa_spon_inactivation: IKK_active -> IKK_inact","{""species_names"": {""G3P"": ""IKK_active"", ""Gly"": ""IKK_inact"", ""DHAP"": ""IKK_neutral""}, ""reaction_names"": {""Gpd_p"": ""IKKn_activation"", ""Gpp_p"": ""IKKa_spon_inactivation""}}",4,False,,,,,0.6097529504704382,0.6187271368023686
BIOMD0000000076,BIOMD0000000247,"BIOMD0000000076: 3 species, 2 reactions
  Gpd_p: DHAP -> G3P
  Gpp_p: G3P -> Gly","8812375: 3 species, 2 reactions
  vPGM: P3G -> P2G
  vENO: P2G -> PEP","{""species_names"": {""G3P"": ""P2G"", ""Gly"": ""PEP"", ""DHAP"": ""P3G""}, ""reaction_names"": {""Gpd_p"": ""vPGM"", ""Gpp_p"": ""vENO""}}",1,False,,,,,0.5205601988373296,0.5291955668133065
BIOMD0000000076,BIOMD0000000091,"BIOMD0000000076: 3 species, 2 reactions
  Gpd_p: DHAP -> G3P
  Gpp_p: G3P -> Gly","9243309: 3 species, 2 reactions
  misfolding: NatP -> MisP
  proteinAggregation2: MisP + AggP -> 2.0 AggP","{""species_names"": {""G3P"": ""MisP"", ""Gly"": ""AggP"", ""DHAP"": ""NatP""}, ""reaction_names"": {""Gpd_p"": ""misfolding"", ""Gpp_p"": ""proteinAggregation2""}}",1,False,,,,,0.49151826451511005,0.49995015141904964
BIOMD0000000076,BIOMD0000000110,"BIOMD0000000076: 3 species, 2 reactions
  Gpd_p: DHAP -> G3P
  Gpp_p: G3P -> Gly","7995796: 3 species, 2 reactions
  reaction_0000016: ixp -> x
  reaction_0000005: x -> x1","{""species_names"": {""G3P"": ""x"", ""Gly"": ""x1"", ""DHAP"": ""ixp""}, ""reaction_names"": {""Gpd_p"": ""reaction_0000016"", ""Gpp_p"": ""reaction_0000005""}}",3,False,,,,,0.47634410800908267,0.48465308764529125
BIOMD0000000076,BIOMD0000000190,"BIOMD0000000076: 3 species, 2 reactions
  Gpd_p: DHAP -> G3P
  Gpp_p: G3P -> Gly","2859390: 3 species, 2 reactions
  MAT: Met -> SAM
  SAMdc: SAM -> A","{""species_names"": {""G3P"": ""SAM"", ""Gly"": ""A"", ""DHAP"": ""Met""}, ""reaction_names"": {""Gpd_p"": ""MAT"", ""Gpp_p"": ""SAMdc""}}",1,False,,,,,0.3176900194955621,0.3241083476847001
BIOMD0000000076,BIOMD0000000355,"BIOMD0000000076: 3 species, 2 reactions
  Gpd_p: DHAP -> G3P
  Gpp_p: G3P -> Gly","1107623: 3 species, 2 reactions
  JChannel: CaS -> CaI
  mwa61047ec_49c1_47b2_b78e_4d84a33d432a: CaI -> mw013a7c64_a9ec_483c_b3b8_ed658337ee95","{""species_names"": {""G3P"": ""CaI"", ""Gly"": ""mw013a7c64_a9ec_483c_b3b8_ed658337ee95"", ""DHAP"": ""CaS""}, ""reaction_names"": {""Gpd_p"": ""JChannel"", ""Gpp_p"": ""mwa61047ec_49c1_47b2_b78e_4d84a33d432a""}}",4,False,,,,,0.3934045093345312,0.40085551008665876
